Wavelength	Blackberry	Grass	Blueberry	Litter	Humus	Soil
746	0.359231162	0.353093834	0.355085735	0.34527187	0.046413603	0.146307687
747	0.360381592	0.354406192	0.355951537	0.346433447	0.046538683	0.146723193
748	0.36139204	0.355563265	0.356715147	0.347560963	0.046655939	0.147120474
749	0.362239146	0.356540314	0.357352523	0.348633353	0.046770006	0.147498875
750	0.362999697	0.357409767	0.357930471	0.349726944	0.046897911	0.147888336
751	0.363667397	0.358173999	0.358443367	0.350816515	0.047031242	0.148272815
752	0.364202711	0.358797603	0.358855447	0.351843994	0.047156153	0.148630849
753	0.364675137	0.359345317	0.359230425	0.352868881	0.047285015	0.148989702
754	0.365072583	0.359804701	0.359551345	0.353885965	0.047430301	0.149351172
755	0.365436601	0.360220044	0.359855904	0.354916815	0.047579523	0.149714244
756	0.365780395	0.360604032	0.360161503	0.355967007	0.047726628	0.150075485
757	0.366087812	0.360936762	0.36045171	0.357024257	0.047877118	0.150434508
758	0.366340616	0.361209373	0.360696277	0.358071317	0.048019397	0.150782001
759	0.366583376	0.361469805	0.360947368	0.359137303	0.048157435	0.151131226
760	0.366829694	0.361726792	0.361212315	0.360227992	0.048301727	0.151495034
